OBJECTID,DamSiteID,SiteID,X_Dam,Y_Dam,Z_Dam,H_Dam,W_Dam,L_Dam,V_Dam,V/H,H_LS,R_LS,R_LS_3D,L_LS,H_R_ratio,H_R3D_ratio,H_L_ratio,A_LS_debris_sum,V_LS_debris_sum,Material_LS,Type_LS,Trigger,Type_Dam,DBI,Upstream_Catchment_Area,Ac (m2),W_Channel_at_Dam,Grad_Channel_at_Dam,DateFormed_Dam,FailureMech_Dam,Dam_breach,Dam_breach_details,Dam_Stability,Q_at_Failure,Confidence,Notes,Comments,References,SUBSET,MetadataID,CatchmentID,Review_comments,Source_V,Velocity,Catchment_Emin,Catchment_Emax,TAG
417,Acheron Lakes 800,Acheron Lakes 800,1212451,4985969,782,40,1180,900,13472877,336821.925,621,3805,3857,2656,0.1632063,0.161006,0.2338102,1905403.5,21462764,Rock,Slope deformation,Miscellaneous,II,1.9747959,31.783104,31783104,830,1.2410609,Holocene,Unknown,Complete Breach,<Null>,Dam breached,,Low,,Large complex landslide; Dam inferred,Heron (2020); SC mapping,Yes,54,873,<Null>,17170212,0.0000005,782,1816,
450,Alexander,Alexander,1655009,5378290,632,10,440,210,307739,30773.9,497,999,1124,935,0.4974975,0.4421708,0.5315508,165833.8594,815943.4375,Rock,Avalanche,Miscellaneous,II,2.2831473,5.906496,5906496,200,8.6718674,,Not failed,No Breach,existing/former (silted) lake,Infilled,,High,,Source confidence is high. Could be second lake downstream; this lake could extend upstream,Korup (2011); SC mapping; AW mapping ,Yes,54,946,,652754.75,5000,632,1642,
66,Avoca 740,Avoca 740,1477233,5223391,739,90,1450,1150,51433664,571485.1556,1117,2481,2775,2144,0.4502217,0.4025225,0.5209888,1785086.125,4661065.5,Rock,Avalanche,Unknown,II,2.2633624,104.801472,104801472,240,0.9834064,3550 BC / 5500 yr BP,Unknown,Complete Breach,former lake; natural,Dam breached,,Moderate,,lake inferred,Perrin & Hancox (1992); RM mapping; Allen et al. (2011); SC mapping,Yes,54,281,,3728852.25,5000,738,2306,
56,Barfoot,Barfoot,1549433,5446229,538,50,690,420,5256836,105136.72,782,1452,1707,977,0.5385675,0.4581136,0.8004094,536994.3125,536335.625,Rock,Avalanche,Earthquake,IV,2.5699162,39.054464,39054464,190,2.3383505,,Unknown,No Breach,existing/former (silted) lake,Long-term eroded,,High,,,"Hancox et al. (1997, 2002); SC mapping",Yes,54,269,<Null>,429068.5,5000,532,1593,
554,Basin Creek 900,Basin Creek 900,1473527,5227633,904,15,215,175,160274,10684.93333,632,1081,1258,974,0.5846438,0.5023847,0.6488706,32716.58594,859789.6875,Debris,Debris flow,Miscellaneous,II,3.0731642,12.645504,12645504,70,1.5465606,Holocene,Unknown,Complete Breach,<Null>,Dam breached,,Moderate,,Incremental landslide,Allen et al. (2011); SC mapping,Yes,54,1058,,687831.75,500,904,2082,
546,Basin Creek 920,Basin Creek 920,1473131,5227535,925,25,185,90,151232,6049.28,298,384,493,330,0.7760417,0.6044625,0.9030303,37511.87109,41870.11719,Rock,Avalanche,Miscellaneous,I,3.3021564,12.129984,12129984,80,3.4861932,Holocene,Unknown,Complete Breach,<Null>,Dam breached,,Moderate,,lake inferred; note source geol is half basement/half quat debris,Allen et al. (2011); SC mapping,Yes,54,1049,,33496.09375,5000,925,2082,
556,Beautiful River,Beautiful River,1550591,5443201,449,35,1655,390,6883802,196680.0571,742,2082,2282,1016,0.3563881,0.3251534,0.730315,640689.9375,479582.8438,Rock,Avalanche,Miscellaneous,II,2.438339,53.963392,53963392,180,4.0775847,,Unknown,Complete Breach,looks like erosion channel,Dam breached,,,,<Null>,Nash (2003); SC mapping,Yes,54,1060,RM: no lake mapped - OK FOR NOW,383666.2813,5000,449,1620,<Null>
508,Big Deep Creek,Big Deep Creek,1529943,5376939,268,10,160,95,51080,5108,178,334,381,321,0.5329341,0.4671916,0.5545171,27325.35352,56769.28906,Rock,Planar slide,Miscellaneous,I,3.2715349,9.545216,9545216,80,4.5228524,,Unknown,Complete Breach,<Null>,Dam breached,,,,<Null>,Korup (2011); SC mapping,Yes,54,1008,,45415.42969,5000,268,1446,
25,Blue Duck,Blue Duck,1547560,5366473,692,5,1420,190,518270,103654,417,1543,1600,554,0.2702528,0.260625,0.7527076,553622.8125,2447782.75,Rock,Mountain slope deformation,Earthquake,I,1.0423781,1.142784,1142784,280,8.0754671,Prehistoric (c.1650),Not failed,No Breach,existing/former (silted) lake,Long-term eroded,,,,,Perrin & Hancox (1992); RM mapping; AW mapping,Yes,3,226,<Null>,1958226.125,0.0000005,692,987,
188,Branch Trib 530,Branch Trib 530,1659431,5347172,529,1,135,30,1750,1750,95,239,259,157,0.3974895,0.3667954,0.6050956,15221.31055,3529.622803,Rock,Slope deformation,Earthquake,II,3.067436,2.043968,2043968,60,4.8994961,11/14/2016,Overtopping,Complete Breach,failed btw 7/2018 and 2/2019,Dam breached,,,,2016 Kaikoura Earthquake; Small pond has formed but stream has breached lan*,"Massey et al. (2018, 2019, 2021)",Yes,79,416,,2823.698242,0.0000005,529,1621,
478,Brownlee,Brownlee,1183400,5014908,496,25,1110,270,2596311,103852.44,910,1527,1811,1054,0.5959398,0.5024848,0.8633776,631057.5625,5405354,Rock,Avalanche,Miscellaneous,IV,2.032774,11.199296,11199296,200,10.6284723,,Not failed,No Breach,existing/former (silted) lake,Long-term stable,,,,<Null>,Korup (2011); SC mapping,Yes,54,974,<Null>,4324283,5000,489,1897,
1,Buller 1968,Buller 1968,1523424,5370193,102,40,700,390,4319946,107998.65,591,1802,1926,1385,0.3279689,0.3068536,0.4267148,215997.2969,993881.9375,Rock,Avalanche,Earthquake,II,4.608788,4387.388864,4387388864,180,0.0765119,5/24/1968,Overtopping,Complete Breach,"Natural, dam lasted 21 hours",Dam breached,,,,Slide reactivated again in 1971 (Adams 1981); natural breach after 21 hours,Perrin & Hancox (1992); RM mapping; AW mapping,Yes,3,199,<Null>,795105.5625,5000,100,2334,
453,Bullock Creek,Bullock Creek,1465657,5338367,81,20,850,290,1985473,99273.65,299,1121,1165,567,0.2667261,0.2566524,0.5273368,360557.0938,2080652,Rock,Slope deformation,Miscellaneous,II,2.6770556,47.194304,47194304,270,4.0721612,,Not failed,No Breach,existing/former (silted) lake; silted up,Infilled,,Moderate,,<Null>,Korup (2011); SC mapping,Yes,54,949,<Null>,1664521.625,0.0000005,80,1254,
40,Burgoo,Burgoo,1560575,5460017,512,65,575,205,2506398,38559.96923,521,848,1010,764,0.6143868,0.5158416,0.6819372,226744.4219,286796.0625,Rock,Planar slide,Earthquake,I,2.6219761,16.147776,16147776,160,6.0124817,6/17/1929,Unknown,Partial Breach A,Half silted up,Long-term eroded,,,,<Null>,Perrin & Hancox (1992); RM mapping; AW mapping,Yes,3,246,<Null>,229436.8594,5000,508,1765,
